sample,ZP3_log2_TPM
GTEX-13G51-0011-R10b-SM-5LZYF,-0.3566
GTEX-11DXW-1126-SM-5H12Q,-0.4521
GTEX-145LS-0011-R2a-SM-5PNZI,0.6239
GTEX-WL46-0011-R10A-SM-3MJFQ,-0.0574
GTEX-12WS9-0011-R6a-SM-5P9EW,2.2452
GTEX-147GR-0011-R7a-SM-5S2RP,1.2271
GTEX-13PL6-3126-SM-5LUAR,1.2756
GTEX-12WSH-0011-R11a-SM-5LZVM,1.412
GTEX-13SLX-0011-R2b-SM-5S2VP,-0.394
GTEX-WHSE-0011-R4A-SM-3P5ZN,-0.3752
GTEX-12ZZW-0011-R3a-SM-5DUWW,-0.5125
GTEX-13X6K-0011-R2b-SM-5P9K3,2.236
GTEX-13X6I-0011-R10a-SM-5PNWI,1.0363
GTEX-14BIM-0011-R11b-SM-5S2RN,1.8201
GTEX-R55F-0011-R8A-SM-2TF4F,1.0983
GTEX-11UD1-0011-R2b-SM-5BC6O,0.0014
GTEX-147F4-0011-R6b-SM-5S2UP,1.0007
GTEX-X585-0011-R11B-SM-46MUZ,0.4967
GTEX-13SLX-3126-SM-5S2Q5,0.9642
GTEX-11NV4-0011-R6a-SM-57WD5,1.8996
GTEX-13CZV-0011-R7b-SM-5LZXH,1.4441
GTEX-145LU-0011-R10a-SM-5PNWJ,0.7233
GTEX-ZAB4-0011-R2a-SM-4RGNP,1.0503
GTEX-11O72-2926-SM-5BC4V,0.2522
GTEX-12WSH-0011-R10a-SM-5LZUS,0.3573
GTEX-13FXS-0011-R6b-SM-5L3F7,1.4065
GTEX-1313W-0011-R4b-SM-5KLZV,0.3115
GTEX-Y8DK-0011-R6A-SM-4V6EG,2.0776
GTEX-R55E-0011-R7A-SM-2TC5Z,1.2455
GTEX-131YS-0011-R1a-SM-5DUXC,-0.4325
GTEX-13OW6-0011-R7b-SM-5L3H4,1.4704
GTEX-ZVT3-3026-SM-5E43N,0.1124
GTEX-13X6J-0011-R10b-SM-5PNWA,-0.5332
GTEX-11GSP-3126-SM-5A5LL,0.605
GTEX-13PL6-0011-R5b-SM-5O9BI,0.6699
GTEX-11WQC-0011-R8b-SM-57WCH,2.0111
GTEX-13OVJ-0011-R4b-SM-5P9H5,-0.1504
GTEX-13RTJ-0011-R2a-SM-5PNW9,0.03
GTEX-13FLW-0011-R7b-SM-5L3EZ,1.9859
GTEX-XMD1-0011-R1A-SM-4AT4C,-0.7834
GTEX-S7PM-0011-R6A-SM-3NM8F,0.1124
GTEX-139UW-0011-R11a-SM-5IJGN,0.24
GTEX-1313W-3026-SM-5LZUZ,0.6425
GTEX-139UC-3226-SM-5N9EZ,1.0007
GTEX-WL46-0011-R9A-SM-3MJFP,0.8568
GTEX-11ZU8-0011-R4a-SM-5BC6Y,-1.1811
