sample,ZP3_log2_TPM
GTEX-NPJ8-0007-SM-26GMF,-2.8262
GTEX-ZQG8-2226-SM-5DUWD,-1.5951
GTEX-WFG8-1726-SM-5CHTE,-9.9658
GTEX-N7MS-0826-SM-2HML4,-2.1779
GTEX-ZYFC-1826-SM-5GZZA,2.9375
GTEX-R55E-1326-SM-48FCR,3.2885
GTEX-13OW8-1026-SM-5J1NQ,2.5061
GTEX-113JC-2326-SM-5EQ4E,1.7912
GTEX-13PL7-2326-SM-5L3FY,1.5064
GTEX-Z9EW-0526-SM-5HL8S,2.7951
GTEX-13X6J-0826-SM-5LU32,1.2815
GTEX-11DXX-0005-SM-5NQ8B,-1.8836
GTEX-12WSB-3226-SM-59HJP,3.9166
GTEX-U412-0526-SM-3DB9I,2.4857
GTEX-N7MS-0011-R3a-SM-5SI8H,0.2522
GTEX-11DXZ-2526-SM-5N9BG,1.6187
GTEX-ZLV1-0926-SM-5S2MR,3.2236
GTEX-WHSB-2026-SM-3LK6H,0.9038
GTEX-13QIC-1826-SM-5J1MY,2.0979
GTEX-XV7Q-0126-SM-4BRVK,1.6045
GTEX-Z9EW-1626-SM-5CVMN,3.6042
GTEX-13QJ3-0426-SM-5RQHP,0.3115
GTEX-W5WG-1326-SM-4LMI9,2.6715
GTEX-T6MN-2626-SM-32PMQ,1.736
GTEX-13X6K-0626-SM-5LU5D,3.9127
GTEX-11OF3-0008-SM-5S2NH,-0.3752
GTEX-111CU-2026-SM-5GZZC,-1.9379
GTEX-PW2O-1726-SM-2S1OO,-9.9658
GTEX-TMMY-0926-SM-4VBQZ,-1.2828
GTEX-ZPU1-1126-SM-4YCF3,1.8119
GTEX-13OW5-2626-SM-5MR3M,1.6649
GTEX-XV7Q-1026-SM-4BRVR,1.5064
GTEX-11EMC-0226-SM-5EGLP,1.3567
GTEX-12WS9-0011-R5b-SM-5P9EV,1.9226
GTEX-12ZZX-1326-SM-5DUWI,2.7551
GTEX-S3XE-1326-SM-4AD4H,1.4494
GTEX-111FC-2026-SM-5GZYO,3.2267
GTEX-12C56-1426-SM-5FQSW,2.05
GTEX-13112-2626-SM-5BC66,-0.4921
GTEX-XMK1-0226-SM-4B65D,1.196
GTEX-T2IS-1126-SM-4DM6Z,4.01
GTEX-OIZG-1026-SM-3LK5X,1.949
GTEX-Y8E4-0726-SM-4WWFN,3.4116
GTEX-U3ZM-0002-SM-3NMDM,2.496
GTEX-OXRK-0926-SM-2HMKP,2.4008
GTEX-Y3I4-1026-SM-4TT2C,1.4228
GTEX-NL4W-0011-R9a-SM-2I3G1,0.7058
GTEX-YB5E-0626-SM-4VDSE,1.2455
GTEX-111YS-1126-SM-5GZYQ,0.6332
GTEX-OIZH-2626-SM-2HMJM,2.1313
GTEX-ZV7C-0526-SM-51MRB,-0.6643
GTEX-139YR-1926-SM-5LZXM,-0.6416
GTEX-QDVN-0526-SM-48TZ4,2.1541
GTEX-WY7C-2426-SM-3NB2V,1.4547
GTEX-13X6J-3026-SM-5Q5CU,0.24
GTEX-13CF3-2226-SM-5J2MX,3.5572
GTEX-V1D1-0726-SM-4JBH7,1.5266
GTEX-REY6-0626-SM-2TF4G,1.5612
GTEX-P4QS-0726-SM-3NMCZ,0.3573
