num,line,doi,pmid,year_ms,status,cr_title,cr_year,cr_journal,pmid_doi,note
68,"Balawi E, Jiang Z, Wang X, Chen D. TGFB2 as a Prognostic Biomarker Associated wi",10.3390/cancers18132092,42449636,2026,VERIFIED,"TGFB2 as a Prognostic Biomarker Associated with Myeloid-Enriched, Multi-Checkpoint-Activat",2026,Cancers,10.3390/cancers18132092,DOI + PMID 双向一致
69,"Yang Y, Cao X, Feng N, Kang X, Wang Y, Sun Y. Exploratory multi-omics links CCL2",10.1080/15384101.2026.2703934,42454783,2026,VERIFIED,Exploratory multi-omics links CCL2/TIMP1 axis to immunosuppressive TME in glioblastoma,2026,Cell Cycle,10.1080/15384101.2026.2703934,DOI + PMID 双向一致
70,"Zhang D, Guan N, Feng X, Wang Y, Zhang L, Liu J, et al. Enhancing glioma immunot",10.1038/s41388-026-03844-3,42310095,2026,VERIFIED,Enhancing glioma immunotherapy by disrupting RBP-J-mediated NNMT signaling in tumor microe,2026,Oncogene,10.1038/s41388-026-03844-3,DOI + PMID 双向一致
71,"Sun S, Zhang B, Chen P, Wu L, Niu Z. Identification of TNFRSF12A as a key regula",10.1016/j.clim.2026.110755,42542235,2026,VERIFIED,Identification of TNFRSF12A as a key regulator of stemness and immunosuppression in a nove,2026,Clinical Immunology,10.1016/j.clim.2026.110755,DOI + PMID 双向一致
72,"Pei J, Huang C, Jiang C, Zhang Q, Cai L, Guo Y, et al. FZD5 drives macrophage-me",10.1186/s12885-026-16332-4,42410370,2026,VERIFIED,FZD5 drives macrophage-mediated immunomodulation and predicts prognosis in glioma: evidenc,2026,BMC Cancer,10.1186/s12885-026-16332-4,DOI + PMID 双向一致
73,"Dong Y, Liang T, Li J, et al. Ferroptosis-resistant myeloid niche shapes tumor n",10.1016/j.canlet.2026.218717,42425190,2026,VERIFIED,Ferroptosis-resistant myeloid niche shapes tumor natural evolution in glioblastoma,2026,Cancer Letters,10.1016/j.canlet.2026.218717,DOI + PMID 双向一致
74,"Pawlowsky-Glahn V, Egozcue JJ, Tolosana-Delgado R. Modeling and Analysis of Comp",,,2015,NO_DOI,,,,,专著（无 DOI，正常）
75,"Borenstein M, Hedges LV, Higgins JPT, Rothstein HR. Introduction to Meta-Analysi",,,2009,NO_DOI,,,,,专著（无 DOI，正常）
76,"Gabrusiewicz K, Rodriguez B, Wei J, Hashimoto Y, Healy LM, Maiti SN, et al. Glio",10.1172/jci.insight.85841,26973881,2016,VERIFIED,Glioblastoma-infiltrated innate immune cells resemble M0 macrophage phenotype,2016,JCI Insight,10.1172/jci.insight.85841,DOI + PMID 双向一致
77,"Garcia-Bermudez J, Baudrier L, La K, Zhu XG, Fidelin J, Sviderskiy VO, et al. As",10.1038/s41556-018-0118-z,29941933,2018,VERIFIED,Aspartate is a limiting metabolite for cancer cell proliferation under hypoxia and in tumo,2018,Nature Cell Biology,10.1038/s41556-018-0118-z,DOI + PMID 双向一致
