Analysis,Score,Split,K,Pooled_rho,CI_low,CI_high,Q,I2,Train_rho,Val_rho,Same_direction,Val_CI_crosses_zero
L2CO,score_M2_Macrophage,leave:BLCA+PCPG,30,0.1376,0.1167,0.1583,118.39,0.755,,,,
L2CO,score_Myeloid,leave:BLCA+PCPG,30,0.1059,0.0849,0.1269,100.42,0.711,,,,
L2CO,score_M2_Macrophage,leave:BLCA+PRAD,30,0.1385,0.1172,0.1597,126.76,0.771,,,,
L2CO,score_Myeloid,leave:BLCA+PRAD,30,0.1102,0.0887,0.1315,118.39,0.755,,,,
L2CO,score_M2_Macrophage,leave:BLCA+READ,30,0.1432,0.1225,0.1639,128.73,0.775,,,,
L2CO,score_Myeloid,leave:BLCA+READ,30,0.1131,0.0922,0.1339,118.87,0.756,,,,
L2CO,score_M2_Macrophage,leave:BLCA+SARC,30,0.1475,0.1265,0.1683,121.77,0.762,,,,
L2CO,score_Myeloid,leave:BLCA+SARC,30,0.118,0.0969,0.139,110.33,0.737,,,,
L2CO,score_M2_Macrophage,leave:BLCA+SKCM,30,0.141,0.1202,0.1617,127.41,0.772,,,,
L2CO,score_Myeloid,leave:BLCA+SKCM,30,0.1111,0.0902,0.132,117.77,0.754,,,,
L2CO,score_M2_Macrophage,leave:BLCA+STAD,30,0.15,0.1289,0.171,118.91,0.756,,,,
L2CO,score_Myeloid,leave:BLCA+STAD,30,0.117,0.0957,0.1382,115.6,0.749,,,,
L2CO,score_M2_Macrophage,leave:BLCA+TGCT,30,0.1442,0.1233,0.1649,127.73,0.773,,,,
L2CO,score_Myeloid,leave:BLCA+TGCT,30,0.1149,0.094,0.1358,116.1,0.75,,,,
L2CO,score_M2_Macrophage,leave:BLCA+THCA,30,0.1436,0.1223,0.1648,129.01,0.775,,,,
L2CO,score_Myeloid,leave:BLCA+THCA,30,0.1133,0.0918,0.1346,119.11,0.757,,,,
L2CO,score_M2_Macrophage,leave:BLCA+THYM,30,0.1368,0.1159,0.1575,107.27,0.73,,,,
L2CO,score_Myeloid,leave:BLCA+THYM,30,0.1082,0.0872,0.129,106.8,0.728,,,,
L2CO,score_M2_Macrophage,leave:BLCA+UCEC,30,0.1413,0.1204,0.162,128.53,0.774,,,,
L2CO,score_Myeloid,leave:BLCA+UCEC,30,0.112,0.091,0.1329,119.08,0.756,,,,
L2CO,score_M2_Macrophage,leave:BLCA+UCS,30,0.1413,0.1206,0.1619,127.07,0.772,,,,
L2CO,score_Myeloid,leave:BLCA+UCS,30,0.1111,0.0902,0.1319,116.37,0.751,,,,
L2CO,score_M2_Macrophage,leave:BLCA+UVM,30,0.1442,0.1234,0.1648,126.3,0.77,,,,
L2CO,score_Myeloid,leave:BLCA+UVM,30,0.1144,0.0935,0.1352,115.64,0.749,,,,
L2CO,score_M2_Macrophage,leave:BRCA+CESC,30,0.1405,0.1185,0.1623,135.29,0.786,,,,
L2CO,score_Myeloid,leave:BRCA+CESC,30,0.1141,0.092,0.1361,118.8,0.756,,,,
L2CO,score_M2_Macrophage,leave:BRCA+CHOL,30,0.1379,0.1163,0.1593,135.36,0.786,,,,
L2CO,score_Myeloid,leave:BRCA+CHOL,30,0.1108,0.089,0.1324,119.91,0.758,,,,
L2CO,score_M2_Macrophage,leave:BRCA+COAD,30,0.1386,0.1167,0.1604,136.13,0.787,,,,
L2CO,score_Myeloid,leave:BRCA+COAD,30,0.1103,0.0882,0.1323,120.22,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+DLBC,30,0.1376,0.116,0.1591,135.0,0.785,,,,
L2CO,score_Myeloid,leave:BRCA+DLBC,30,0.1112,0.0894,0.1328,120.43,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+ESCA,30,0.1422,0.1204,0.1638,131.09,0.779,,,,
L2CO,score_Myeloid,leave:BRCA+ESCA,30,0.1146,0.0927,0.1364,116.5,0.751,,,,
L2CO,score_M2_Macrophage,leave:BRCA+GBM,30,0.1383,0.1165,0.1599,136.11,0.787,,,,
L2CO,score_Myeloid,leave:BRCA+GBM,30,0.1108,0.0889,0.1325,120.32,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+HNSC,30,0.1353,0.113,0.1575,134.9,0.785,,,,
L2CO,score_Myeloid,leave:BRCA+HNSC,30,0.1143,0.0919,0.1366,119.38,0.757,,,,
L2CO,score_M2_Macrophage,leave:BRCA+KICH,30,0.1399,0.1183,0.1614,133.93,0.783,,,,
L2CO,score_Myeloid,leave:BRCA+KICH,30,0.1132,0.0915,0.1349,116.59,0.751,,,,
L2CO,score_M2_Macrophage,leave:BRCA+KIRC,30,0.1287,0.1063,0.1509,124.82,0.768,,,,
L2CO,score_Myeloid,leave:BRCA+KIRC,30,0.1008,0.0784,0.1232,107.77,0.731,,,,
L2CO,score_M2_Macrophage,leave:BRCA+KIRP,30,0.1383,0.1164,0.1601,136.13,0.787,,,,
L2CO,score_Myeloid,leave:BRCA+KIRP,30,0.1082,0.0861,0.1302,118.34,0.755,,,,
L2CO,score_M2_Macrophage,leave:BRCA+LGG,30,0.1244,0.102,0.1466,111.65,0.74,,,,
L2CO,score_Myeloid,leave:BRCA+LGG,30,0.0981,0.0756,0.1204,99.28,0.708,,,,
L2CO,score_M2_Macrophage,leave:BRCA+LIHC,30,0.1336,0.1115,0.1556,132.04,0.78,,,,
L2CO,score_Myeloid,leave:BRCA+LIHC,30,0.1087,0.0865,0.1309,119.33,0.757,,,,
L2CO,score_M2_Macrophage,leave:BRCA+LUAD,30,0.1467,0.1244,0.1688,127.94,0.773,,,,
L2CO,score_Myeloid,leave:BRCA+LUAD,30,0.1139,0.0915,0.1362,119.62,0.758,,,,
