Cancer,Transcript,Median_prop,Mean_prop,N
UCEC,ENST00000467555.1,0.00011945838220410825,0.05817949966739062,180
UCEC,ENST00000394857.7,0.019416317958640093,0.039784058935856875,180
UCEC,ENST00000416245.5,0.0029967083946092154,0.005593344021210321,180
UCEC,ENST00000479793.5,0.006713354679473491,0.038375279099201916,180
SKCM,ENST00000336517.8,0.35131204917677306,0.41883695782722197,102
SKCM,ENST00000466960.5,0.47742122071912174,0.44885267005119045,102
SKCM,ENST00000394860.3,0.01968454594665977,0.030439849413123606,102
SKCM,ENST00000467555.1,0.00012512591151111232,0.02159083312701785,102
SKCM,ENST00000394857.7,0.03803889797919451,0.05161095353533856,102
SKCM,ENST00000416245.5,0.0036764721369016186,0.007555123919244092,102
SKCM,ENST00000479793.5,0.0004103959339577402,0.02111361212686346,102
UVM,ENST00000336517.8,0.5145661040037023,0.5097582301572915,79
UVM,ENST00000466960.5,0.3613315407161398,0.4053747256797921,79
UVM,ENST00000394860.3,0.03593594382674365,0.03844524177574661,79
UVM,ENST00000467555.1,9.71138871860855e-05,0.0011498486771971872,79
UVM,ENST00000394857.7,0.0008285003131111786,0.017921365759051084,79
UVM,ENST00000416245.5,0.0021500283342906993,0.005217752072950527,79
UVM,ENST00000479793.5,0.0014535392227950398,0.022132835877971022,79
UCS,ENST00000336517.8,0.3734899176631471,0.42214991468028973,57
UCS,ENST00000466960.5,0.4945029627386947,0.46064673378003573,57
UCS,ENST00000394860.3,0.020361892165404117,0.028924142815627704,57
UCS,ENST00000467555.1,0.00010641583929619495,0.006300122195662135,57
UCS,ENST00000394857.7,0.0145277416237876,0.032442086836202144,57
UCS,ENST00000416245.5,0.0032692952356402844,0.005720779820040659,57
UCS,ENST00000479793.5,0.0131073336041528,0.04381621987214191,57
ACC,ENST00000336517.8,0.34212729598529545,0.413390813468722,77
ACC,ENST00000466960.5,0.3932368907062335,0.42455713066948575,77
ACC,ENST00000394860.3,0.015646451754368657,0.023772429628945605,77
ACC,ENST00000467555.1,0.0002376917946270526,0.09189068688412723,77
ACC,ENST00000394857.7,0.00027419664042327934,0.0167455158567465,77
ACC,ENST00000416245.5,0.0014440657930295854,0.005595689041935764,77
ACC,ENST00000479793.5,0.00032926358036473044,0.024047734450037207,77
KICH,ENST00000336517.8,0.2567046303767494,0.3565806587696741,66
KICH,ENST00000466960.5,0.639290716766814,0.5421456921363937,66
KICH,ENST00000394860.3,0.01008555145872746,0.033102846078863046,66
KICH,ENST00000467555.1,0.00040979025852299456,0.016949120655959132,66
KICH,ENST00000394857.7,0.00047014646750827315,0.02901188801174685,66
KICH,ENST00000416245.5,0.00047013736266527837,0.0011288772022111989,66
KICH,ENST00000479793.5,0.000639093427588826,0.021080917145151992,66
CHOL,ENST00000336517.8,0.42440978190840073,0.4825050623796128,36
CHOL,ENST00000466960.5,0.35921243918967793,0.3409561453349161,36
CHOL,ENST00000394860.3,0.00029727104935773946,0.022048518490960057,36
CHOL,ENST00000467555.1,0.00016990650487362354,0.04753085542402519,36
CHOL,ENST00000394857.7,0.03724140505905166,0.07249071719726904,36
CHOL,ENST00000416245.5,0.009491877224259647,0.013242838741013556,36
CHOL,ENST00000479793.5,0.00027409776491588633,0.021225862432203285,36
DLBC,ENST00000336517.8,0.038625565260943746,0.11513213285712877,47
DLBC,ENST00000466960.5,0.39122679569648616,0.3766929476871911,47
DLBC,ENST00000394860.3,0.006069645314289682,0.02150765510179422,47
DLBC,ENST00000467555.1,0.39368055944836394,0.39764381707458174,47
DLBC,ENST00000394857.7,0.007299168242184011,0.04562203602400285,47
DLBC,ENST00000416245.5,0.0008424744531781898,0.0070007632561998505,47
DLBC,ENST00000479793.5,0.002724739393383653,0.0364006479991015,47
