,ENST00000336517.8,ENST00000466960.5,ENST00000394860.3,ENST00000467555.1,ENST00000394857.7,ENST00000416245.5,ENST00000479793.5
GTEX-139T8-0011-R1a-SM-5HL75,0.0010672021350856785,0.737466373683792,0.0010672021350856785,0.0010672021350856785,0.25719761564077975,0.0010672021350856785,0.0010672021350856785
TARGET-50-PAJNTJ-01,0.6266962157453622,0.371243632566723,0.00041203033758285324,0.00041203033758285324,0.00041203033758285324,0.00041203033758285324,0.00041203033758285324
GTEX-12WSD-2826-SM-59HKT,0.5937216353178657,0.17110556543049377,0.0006816688087026515,0.13019614084759215,0.10293165197794056,0.0006816688087026515,0.0006816688087026515
TCGA-RC-A7SH-01,0.10214278866817916,0.5224479644558998,0.0001109009433405924,0.0001109009433405924,0.3428048100441137,0.014527791952634457,0.017854842992491796
GTEX-11ZUS-0011-R11b-SM-5BC7B,0.00047687171182099393,0.31998780403051624,0.2198343635148257,0.00047687171182099393,0.3152107897520462,0.00047687171182099393,0.14353642756714902
GTEX-WZTO-0626-SM-4PQYY,0.00029350599778575295,0.9806278264875207,0.00029350599778575295,0.00029350599778575295,0.01790464352355029,0.00029350599778575295,0.00029350599778575295
TCGA-CC-A3MA-01,0.6948260451597466,0.010976970379787811,6.818073789011327e-05,6.818073789011327e-05,0.2836971846458779,0.010295257600917464,6.818073789011327e-05
GTEX-ZPU1-1026-SM-4YCEQ,0.13029822704290478,0.43217554948087644,0.00038211363489983123,0.18762049786601576,0.18762049786601576,0.02330994415781449,0.03859316995147307
GTEX-Y9LG-0226-SM-4VBS4,0.2314255520691204,0.0007209666112299263,0.3828417486892541,0.0007209666112299263,0.007930458914758303,0.0007209666112299263,0.3756393404931775
GTEX-13PVQ-0726-SM-5L3GI,0.00045516819404832894,0.432864493222146,0.00045516819404832894,0.00045516819404832894,0.12335493763375054,0.00045516819404832894,0.44195989636791017
GTEX-OHPL-1626-SM-2HMIR,0.14285795114220032,0.8500698167693334,0.0014144464176932708,0.0014144464176932708,0.0014144464176932708,0.0014144464176932708,0.0014144464176932708
